DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, used, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.055541832000017166" 
1, used, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.017699437215924263" 
1, used, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.00757944630458951" 
1, used, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.0052851969376206398" 
1, used, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.0037255957722663879" 
1, used, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.0044425288215279579" 
1, used, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.0054910858161747456" 
1, used, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.011781788431107998" 
1, used, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.020272966474294662" 
1, used, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))-0.027770916000008583" 
1, used, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.035398874431848526" 
1, used, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.01515889260917902" 
1, used, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.01057039387524128" 
1, used, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.0074511915445327759" 
1, used, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.0088850576430559158" 
1, used, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.010982171632349491" 
1, used, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.023563576862215996" 
1, used, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.040545932948589325" 
1, used, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.055541832000017166" 
1, used, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.017699437215924263" 
1, used, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.00757944630458951" 
1, used, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.0052851969376206398" 
1, used, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.0037255957722663879" 
1, used, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.0044425288215279579" 
1, used, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.0054910858161747456" 
1, used, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.011781788431107998" 
1, used, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.020272966474294662" 
1, used, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.660002*((1.+(0.494614*x))/(1.+(0.329806*x))))+0.027770916000008583" 
2, used, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.51157*((1.+(0.477233*x))/(1.+(0.24596*x)))" 
2, used, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.51157*((1.+(0.477233*x))/(1.+(0.24596*x)))" 
2, used, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.050749033689498901" 
2, used, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.017572574317455292" 
2, used, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.012601982802152634" 
2, used, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.0098674986511468887" 
2, used, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.012047137133777142" 
2, used, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.015806147828698158" 
2, used, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.032858338207006454" 
2, used, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.055493056774139404" 
2, used, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.072534531354904175" 
2, used, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.025374516844749451" 
2, used, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.0087862871587276459" 
2, used, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.0063009914010763168" 
2, used, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.0049337493255734444" 
2, used, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.0060235685668885708" 
2, used, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.0079030739143490791" 
2, used, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.016429169103503227" 
2, used, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.027746528387069702" 
2, used, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))-0.036267265677452087" 
2, used, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.050749033689498901" 
2, used, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.017572574317455292" 
2, used, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.012601982802152634" 
2, used, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.0098674986511468887" 
2, used, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.012047137133777142" 
2, used, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.015806147828698158" 
2, used, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.032858338207006454" 
2, used, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.055493056774139404" 
2, used, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.072534531354904175" 
2, used, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.025374516844749451" 
2, used, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.0087862871587276459" 
2, used, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.0063009914010763168" 
2, used, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.0049337493255734444" 
2, used, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.0060235685668885708" 
2, used, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.0079030739143490791" 
2, used, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.016429169103503227" 
2, used, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.027746528387069702" 
2, used, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.51157*((1.+(0.477233*x))/(1.+(0.24596*x))))+0.036267265677452087" 
0, used, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x" 
0, used, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x)*(1-(0.0668598+1.42428e-05*x+-3.17155e-08*x*x))" 
0, used, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x)*(1-(0.0300128+4.35691e-05*x+-5.09432e-08*x*x))" 
0, used, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x)*(1-(0.0539328))" 
0, used, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x)*(1+(0.0668598+1.42428e-05*x+-3.17155e-08*x*x))" 
0, used, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x)*(1+(0.0300128+4.35691e-05*x+-5.09432e-08*x*x))" 
0, used, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.06765+0.000317422*x+-4.61732e-07*x*x+2.03608e-10*x*x*x)*(1+(0.0539328))" 
1, used, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.03216+0.000504744*x+2.12276e-08*x*x+-2.27663e-10*x*x*x" 
